#offset position in file, kind, identifier, suggested
 /usr/local/go/src/runtime/alg.go:#1847,func,aeshash,aesHash
 /usr/local/go/src/runtime/alg.go:#1900,func,aeshash32,aesHash32
 /usr/local/go/src/runtime/alg.go:#1955,func,aeshash64,aesHash64
 /usr/local/go/src/runtime/alg.go:#2010,func,aeshashstr,aesHashStr
 /usr/local/go/src/runtime/alg.go:#2067,func,memhash,memHash
 /usr/local/go/src/runtime/alg.go:#2276,func,strhash,strHash
 /usr/local/go/src/runtime/alg.go:#2601,func,f32hash,f32Hash
 /usr/local/go/src/runtime/alg.go:#2855,func,f64hash,f64Hash
 /usr/local/go/src/runtime/alg.go:#3109,func,c64hash,c64Hash
 /usr/local/go/src/runtime/alg.go:#3270,func,c128hash,c128Hash
 /usr/local/go/src/runtime/alg.go:#3432,func,interhash,intErHash
 /usr/local/go/src/runtime/alg.go:#3826,func,nilinterhash,nilIntErHash
 /usr/local/go/src/runtime/alg.go:#4205,func,memequal,memEqual
 /usr/local/go/src/runtime/alg.go:#4320,func,memequal0,memEqual0
 /usr/local/go/src/runtime/alg.go:#4392,func,memequal8,memEqual8
 /usr/local/go/src/runtime/alg.go:#4486,func,memequal16,memEqual16
 /usr/local/go/src/runtime/alg.go:#4583,func,memequal32,memEqual32
 /usr/local/go/src/runtime/alg.go:#4680,func,memequal64,memEqual64
 /usr/local/go/src/runtime/alg.go:#4777,func,memequal128,memEqual128
 /usr/local/go/src/runtime/alg.go:#4881,func,f32equal,f32Equal
 /usr/local/go/src/runtime/alg.go:#4980,func,f64equal,f64Equal
 /usr/local/go/src/runtime/alg.go:#5079,func,c64equal,c64Equal
 /usr/local/go/src/runtime/alg.go:#5182,func,c128equal,c128Equal
 /usr/local/go/src/runtime/alg.go:#5288,func,strequal,strEqual
 /usr/local/go/src/runtime/alg.go:#5385,func,interequal,intErEqual
 /usr/local/go/src/runtime/alg.go:#5519,func,nilinterequal,nilIntErEqual
 /usr/local/go/src/runtime/alg.go:#5638,func,efaceeq,efaceEq
 /usr/local/go/src/runtime/alg.go:#6111,func,ifaceeq,ifaceEq
# /usr/local/go/src/runtime/alg.go:#6676,func,haveGoodHash,haveGoodHash
# /usr/local/go/src/runtime/alg.go:#6725,func,stringHash,stringHash
# /usr/local/go/src/runtime/alg.go:#6866,func,bytesHash,bytesHash
# /usr/local/go/src/runtime/alg.go:#7021,func,int32Hash,int32Hash
# /usr/local/go/src/runtime/alg.go:#7145,func,int64Hash,int64Hash
# /usr/local/go/src/runtime/alg.go:#7269,func,efaceHash,efaceHash
# /usr/local/go/src/runtime/alg.go:#7416,func,ifaceHash,ifaceHash
# /usr/local/go/src/runtime/alg.go:#7597,func,memclrBytes,memclrBytes
 /usr/local/go/src/runtime/alg.go:#7780,func,goalg,goAlg
 /usr/local/go/src/runtime/alg.go:#7955,func,get_random_data,getRandomData
# /usr/local/go/src/runtime/alg.go:#8008,func,init,init
 /usr/local/go/src/runtime/atomic.go:#230,func,xadd,xAdd
 /usr/local/go/src/runtime/atomic.go:#288,func,xadd64,xAdd64
# /usr/local/go/src/runtime/atomic.go:#348,func,xchg,xchg
# /usr/local/go/src/runtime/atomic.go:#405,func,xchg64,xchg64
# /usr/local/go/src/runtime/atomic.go:#464,func,xchgp,xchgp
 /usr/local/go/src/runtime/atomic.go:#545,func,xchguintptr,xchgUintPtr
 /usr/local/go/src/runtime/atomic.go:#612,func,atomicload,atomicLoad
 /usr/local/go/src/runtime/atomic.go:#663,func,atomicload64,atomicLoad64
 /usr/local/go/src/runtime/atomic.go:#716,func,atomicloadp,atomicLoadp
 /usr/local/go/src/runtime/atomic.go:#783,func,atomicor8,atomicOr8
# /usr/local/go/src/runtime/atomic.go:#836,func,cas64,cas64
 /usr/local/go/src/runtime/atomic.go:#897,func,atomicstore,atomicStore
 /usr/local/go/src/runtime/atomic.go:#954,func,atomicstore64,atomicStore64
 /usr/local/go/src/runtime/atomic.go:#1013,func,atomicstorep,atomicStoreP
 /usr/local/go/src/runtime/cgocall.go:#4176,func,cgocall,cgoCall
 /usr/local/go/src/runtime/cgocall.go:#4255,func,cgocall_errno,cgoCallErrno
 /usr/local/go/src/runtime/cgocall.go:#5333,func,endcgo,endCgo
# /usr/local/go/src/runtime/cgocall.go:#5873,func,cmalloc,cmalloc
# /usr/local/go/src/runtime/cgocall.go:#6107,func,cfree,cfree
 /usr/local/go/src/runtime/cgocall.go:#6202,func,cgocallbackg,cgoCallBackg
 /usr/local/go/src/runtime/cgocall.go:#6774,func,cgocallbackg1,cgoCallBackg1
# /usr/local/go/src/runtime/cgocall.go:#8071,func,unwindm,unwindm
 /usr/local/go/src/runtime/cgocall.go:#8516,func,badcgocallback,badCgoCallBack
 /usr/local/go/src/runtime/cgocall.go:#8624,func,cgounimpl,cgoUnimpl
 /usr/local/go/src/runtime/cgocallback.go:#917,func,_cgo_allocate_internal,_CgoAllocAteIntErnal
 /usr/local/go/src/runtime/cgocallback.go:#1191,func,_cgo_panic_internal,_CgoPanicIntErnal
 /usr/local/go/src/runtime/chan.go:#453,func,makechan,makeChan
 /usr/local/go/src/runtime/chan.go:#1927,func,chanbuf,chanBuf
 /usr/local/go/src/runtime/chan.go:#2103,func,chansend1,chanSend1
 /usr/local/go/src/runtime/chan.go:#2562,func,chansend,chanSend
 /usr/local/go/src/runtime/chan.go:#6584,func,closechan,closeChan
 /usr/local/go/src/runtime/chan.go:#7434,func,chanrecv1,chanRecv1
 /usr/local/go/src/runtime/chan.go:#7539,func,chanrecv2,chanRecv2
 /usr/local/go/src/runtime/chan.go:#8009,func,chanrecv,chanRecv
 /usr/local/go/src/runtime/chan.go:#12108,func,recvclosed,recvClosed
